Order_ID,Date,Month,Year,Customer_ID,Product_ID,Region_ID,Sales,Profit,Product_Name,Category,Sub_Category,Customer_Name,Segment,Region_Name
O0018,2024-04-02,4,2024,C050,P097,R1,3723.07,1093.44,Tablet,Technology,Tablets,Isha,Consumer,North
O0019,2024-08-27,8,2024,C009,P100,R1,3922.38,647.31,Keyboard,Accessories,Input Devices,Diya,Home Office,North
O0020,2024-10-28,10,2024,C060,P047,R1,2835.58,777.51,Keyboard,Accessories,Input Devices,Rohan,Home Office,North
O0021,2024-02-20,2,2024,C038,P088,R4,1541.92,362.24,Laptop,Technology,Computers,Rohan,Consumer,West
O0022,2023-07-23,7,2023,C141,P070,R2,448.39,107.52,Keyboard,Accessories,Input Devices,Meera,Consumer,South
O0023,2023-12-26,12,2023,C194,P076,R1,2397.29,128.47,Phone,Technology,Mobiles,Diya,Consumer,North
O0024,2023-09-10,9,2023,C065,P091,R2,2809.36,143.83,Phone,Technology,Mobiles,Aditya,Consumer,South
O0025,2023-03-19,3,2023,C148,P033,R3,3881.49,930.0,Monitor,Technology,Displays,Rohan,Corporate,East
O0026,2023-03-12,3,2023,C196,P050,R4,2625.05,289.26,Tablet,Technology,Tablets,Aditya,Home Office,West
O0027,2024-11-25,11,2024,C031,P096,R3,1885.9,150.55,Monitor,Technology,Displays,Meera,Home Office,East
O0028,2023-08-31,8,2023,C025,P088,R2,3564.92,279.83,Phone,Technology,Mobiles,Aditya,Consumer,South
O0029,2023-04-05,4,2023,C132,P009,R1,1141.7,327.54,Monitor,Technology,Displays,Rohan,Home Office,North
O0030,2023-05-30,5,2023,C061,P028,R4,1803.6,308.29,Monitor,Technology,Displays,Vivaan,Consumer,West
O0031,2023-12-12,12,2023,C122,P006,R1,125.19,12.12,Laptop,Technology,Computers,Rohan,Consumer,North
O0032,2024-11-10,11,2024,C101,P049,R1,4325.13,1152.47,Laptop,Technology,Computers,Ananya,Corporate,North
O0033,2023-06-30,6,2023,C002,P084,R3,3400.3,672.77,Phone,Technology,Mobiles,Diya,Corporate,East
O0034,2023-08-23,8,2023,C086,P016,R1,3150.62,662.29,Monitor,Technology,Displays,Aarav,Home Office,North
O0035,2023-10-22,10,2023,C166,P090,R2,2852.68,557.6,Laptop,Technology,Computers,Vivaan,Consumer,South
O0036,2024-01-08,1,2024,C015,P068,R2,792.7,146.74,Tablet,Technology,Tablets,Aarav,Corporate,South
O0037,2023-05-28,5,2023,C136,P053,R4,3808.63,888.9,Tablet,Technology,Tablets,Isha,Consumer,West
O0038,2023-12-21,12,2023,C163,P005,R4,2362.3,428.9,Laptop,Technology,Computers,Meera,Corporate,West
O0039,2023-01-16,1,2023,C083,P081,R2,2805.75,446.05,Keyboard,Accessories,Input Devices,Meera,Home Office,South
O0040,2023-06-06,6,2023,C099,P098,R1,3596.71,737.32,Monitor,Technology,Displays,Meera,Consumer,North
O0041,2023-03-23,3,2023,C192,P001,R3,2924.02,788.1,Phone,Technology,Mobiles,Diya,Home Office,East
O0042,2024-03-09,3,2024,C081,P065,R3,2828.7,466.99,Tablet,Technology,Tablets,Aditya,Corporate,East
O0043,2024-03-20,3,2024,C108,P065,R1,2372.45,418.81,Keyboard,Accessories,Input Devices,Ananya,Consumer,North
O0044,2024-04-27,4,2024,C114,P048,R3,140.54,31.23,Phone,Technology,Mobiles,Diya,Consumer,East
O0045,2024-10-02,10,2024,C081,P019,R3,1778.16,126.85,Phone,Technology,Mobiles,Ananya,Consumer,East
O0046,2023-09-03,9,2023,C005,P082,R2,4270.94,369.25,Headphones,Accessories,Audio,Rohan,Corporate,South
O0047,2023-10-13,10,2023,C084,P027,R1,3538.1,885.84,Phone,Technology,Mobiles,Diya,Corporate,North
O0048,2024-11-05,11,2024,C121,P062,R3,1873.39,471.78,Monitor,Technology,Displays,Aditya,Consumer,East
O0049,2023-10-25,10,2023,C012,P069,R2,3195.79,384.7,Keyboard,Accessories,Input Devices,Isha,Home Office,South
O0050,2023-02-04,2,2023,C087,P065,R4,3799.8,695.56,Headphones,Accessories,Audio,Ananya,Consumer,West
O0051,2024-03-01,3,2024,C049,P069,R4,3295.51,283.28,Tablet,Technology,Tablets,Rohan,Consumer,West
O0052,2023-12-20,12,2023,C068,P080,R2,4603.61,867.06,Keyboard,Accessories,Input Devices,Rohan,Consumer,South
O0053,2024-01-18,1,2024,C089,P025,R1,3524.97,372.38,Phone,Technology,Mobiles,Rohan,Consumer,North
O0054,2024-04-15,4,2024,C093,P084,R3,4286.87,1123.48,Laptop,Technology,Computers,Isha,Corporate,East
O0055,2023-08-08,8,2023,C013,P065,R2,2598.64,291.57,Tablet,Technology,Tablets,Meera,Consumer,South
O0056,2024-02-15,2,2024,C053,P053,R3,962.96,148.46,Phone,Technology,Mobiles,Isha,Home Office,East
O0057,2023-01-10,1,2023,C052,P084,R4,2820.18,778.55,Phone,Technology,Mobiles,Isha,Consumer,West
O0058,2023-01-21,1,2023,C033,P062,R2,667.0,104.43,Tablet,Technology,Tablets,Ananya,Home Office,South
O0059,2023-02-14,2,2023,C128,P042,R4,710.27,128.16,Monitor,Technology,Displays,Rohan,Consumer,West
O0060,2024-12-05,12,2024,C140,P034,R4,4309.03,893.78,Monitor,Technology,Displays,Rohan,Home Office,West
O0061,2023-11-11,11,2023,C148,P004,R1,2517.7,468.12,Laptop,Technology,Computers,Meera,Corporate,North
O0062,2023-05-14,5,2023,C153,P075,R1,426.63,83.6,Phone,Technology,Mobiles,Rohan,Corporate,North
O0063,2024-08-31,8,2024,C151,P050,R4,1460.63,342.35,Monitor,Technology,Displays,Aditya,Corporate,West
O0064,2023-03-12,3,2023,C149,P095,R3,1204.23,280.28,Monitor,Technology,Displays,Isha,Home Office,East
O0065,2023-07-28,7,2023,C162,P077,R4,1479.06,178.27,Tablet,Technology,Tablets,Diya,Corporate,West
O0066,2023-05-03,5,2023,C193,P027,R2,3836.34,676.92,Tablet,Technology,Tablets,Isha,Corporate,South
O0067,2023-09-13,9,2023,C085,P080,R1,1060.21,115.32,Monitor,Technology,Displays,Ananya,Home Office,North
O0068,2023-11-25,11,2023,C091,P088,R3,3571.18,435.12,Phone,Technology,Mobiles,Meera,Home Office,East
O0069,2023-12-23,12,2023,C183,P048,R4,334.9,53.57,Phone,Technology,Mobiles,Diya,Corporate,West
O0070,2024-05-04,5,2024,C061,P046,R2,3628.2,1077.03,Keyboard,Accessories,Input Devices,Isha,Consumer,South
O0071,2024-05-11,5,2024,C167,P004,R2,2012.77,120.0,Tablet,Technology,Tablets,Meera,Corporate,South
O0072,2024-02-09,2,2024,C045,P068,R2,464.5,29.16,Tablet,Technology,Tablets,Meera,Home Office,South
O0073,2024-11-20,11,2024,C107,P004,R2,4669.9,486.63,Tablet,Technology,Tablets,Meera,Corporate,South
O0074,2024-07-22,7,2024,C183,P042,R1,3750.93,235.98,Monitor,Technology,Displays,Rohan,Home Office,North
O0075,2024-02-23,2,2024,C117,P083,R4,3513.04,998.69,Phone,Technology,Mobiles,Ananya,Home Office,West
O0076,2023-02-19,2,2023,C027,P085,R1,1934.1,172.85,Phone,Technology,Mobiles,Diya,Corporate,North
O0077,2023-03-07,3,2023,C091,P039,R2,292.92,69.74,Tablet,Technology,Tablets,Diya,Home Office,South
O0078,2023-08-10,8,2023,C054,P050,R1,3359.77,591.01,Laptop,Technology,Computers,Meera,Corporate,North
O0079,2024-10-15,10,2024,C158,P090,R2,3319.46,271.82,Phone,Technology,Mobiles,Ananya,Consumer,South
O0080,2024-07-03,7,2024,C079,P037,R2,936.26,190.78,Headphones,Accessories,Audio,Aarav,Corporate,South
O0081,2023-05-29,5,2023,C008,P090,R2,2450.86,422.26,Tablet,Technology,Tablets,Vivaan,Consumer,South
O0082,2023-03-27,3,2023,C077,P090,R2,2790.85,785.2,Phone,Technology,Mobiles,Isha,Corporate,South
O0083,2023-07-17,7,2023,C137,P095,R1,3948.01,1078.64,Monitor,Technology,Displays,Diya,Corporate,North
O0084,2024-11-24,11,2024,C069,P006,R3,1364.15,273.44,Laptop,Technology,Computers,Isha,Home Office,East
O0085,2023-06-24,6,2023,C024,P083,R3,507.16,118.83,Tablet,Technology,Tablets,Aditya,Home Office,East
O0086,2024-03-16,3,2024,C131,P085,R2,2622.69,439.26,Keyboard,Accessories,Input Devices,Vivaan,Consumer,South
O0087,2023-05-27,5,2023,C176,P045,R3,593.66,157.58,Headphones,Accessories,Audio,Aditya,Home Office,East
O0088,2023-08-08,8,2023,C034,P033,R2,3284.57,398.0,Keyboard,Accessories,Input Devices,Aarav,Home Office,South
O0089,2023-08-07,8,2023,C199,P039,R3,1154.78,112.68,Laptop,Technology,Computers,Ananya,Consumer,East
O0090,2024-11-25,11,2024,C051,P050,R4,231.51,14.06,Laptop,Technology,Computers,Diya,Corporate,West
O0091,2024-03-01,3,2024,C027,P075,R4,3190.74,392.46,Laptop,Technology,Computers,Vivaan,Home Office,West
O0092,2023-02-18,2,2023,C119,P061,R2,2578.97,669.5,Monitor,Technology,Displays,Diya,Corporate,South
O0093,2023-12-02,12,2023,C091,P063,R4,4256.04,544.11,Phone,Technology,Mobiles,Isha,Home Office,West
O0094,2024-12-10,12,2024,C128,P062,R3,3744.39,575.97,Keyboard,Accessories,Input Devices,Aditya,Home Office,East
O0095,2023-02-12,2,2023,C191,P100,R3,2816.9,804.2,Monitor,Technology,Displays,Isha,Consumer,East
O0096,2023-06-18,6,2023,C105,P045,R1,3434.52,589.29,Laptop,Technology,Computers,Aditya,Home Office,North
O0097,2024-09-19,9,2024,C029,P088,R2,378.56,83.75,Phone,Technology,Mobiles,Aarav,Consumer,South
O0098,2023-08-25,8,2023,C062,P067,R4,3036.54,685.67,Headphones,Accessories,Audio,Aditya,Home Office,West
O0099,2024-10-04,10,2024,C151,P081,R1,3653.15,496.2,Tablet,Technology,Tablets,Aarav,Consumer,North
O0100,2023-08-12,8,2023,C086,P047,R2,671.99,84.63,Tablet,Technology,Tablets,Ananya,Consumer,South
O0101,2023-06-28,6,2023,C069,P079,R3,4239.54,880.59,Headphones,Accessories,Audio,Vivaan,Consumer,East
O0102,2023-01-10,1,2023,C177,P011,R3,2096.97,404.49,Laptop,Technology,Computers,Rohan,Corporate,East
O0103,2023-11-12,11,2023,C075,P008,R4,1198.12,127.66,Keyboard,Accessories,Input Devices,Aditya,Home Office,West
O0104,2024-04-10,4,2024,C069,P093,R1,823.97,175.07,Laptop,Technology,Computers,Rohan,Consumer,North
O0105,2024-07-09,7,2024,C044,P016,R3,250.59,13.37,Headphones,Accessories,Audio,Isha,Home Office,East
O0106,2024-07-04,7,2024,C020,P089,R3,324.63,30.98,Phone,Technology,Mobiles,Isha,Home Office,East
O0107,2023-06-06,6,2023,C071,P032,R3,3852.27,361.25,Phone,Technology,Mobiles,Meera,Corporate,East
O0108,2024-02-02,2,2024,C161,P086,R1,445.4,35.17,Tablet,Technology,Tablets,Diya,Consumer,North
O0109,2024-06-16,6,2024,C069,P086,R1,2774.68,416.29,Headphones,Accessories,Audio,Meera,Home Office,North
O0110,2024-03-02,3,2024,C041,P056,R4,1948.08,232.08,Phone,Technology,Mobiles,Ananya,Consumer,West
O0111,2023-05-10,5,2023,C180,P070,R3,4022.67,381.72,Monitor,Technology,Displays,Isha,Home Office,East
O0112,2023-06-18,6,2023,C180,P089,R2,1153.67,81.63,Monitor,Technology,Displays,Diya,Home Office,South
O0113,2023-10-08,10,2023,C043,P009,R2,1561.03,103.59,Phone,Technology,Mobiles,Aarav,Consumer,South
O0114,2024-05-04,5,2024,C059,P027,R4,2992.6,707.13,Keyboard,Accessories,Input Devices,Diya,Corporate,West
O0115,2024-08-20,8,2024,C138,P037,R3,1683.52,93.99,Headphones,Accessories,Audio,Vivaan,Home Office,East
O0116,2024-10-22,10,2024,C095,P008,R4,4822.64,388.04,Phone,Technology,Mobiles,Diya,Consumer,West
O0117,2023-12-22,12,2023,C093,P086,R1,3497.15,376.51,Phone,Technology,Mobiles,Diya,Corporate,North
O0118,2023-01-02,1,2023,C181,P045,R4,1213.2,156.4,Tablet,Technology,Tablets,Meera,Home Office,West
O0119,2024-09-30,9,2024,C166,P046,R2,3603.0,686.97,Headphones,Accessories,Audio,Aarav,Home Office,South
O0120,2024-08-10,8,2024,C065,P092,R4,4193.62,813.08,Tablet,Technology,Tablets,Ananya,Corporate,West
O0121,2023-09-15,9,2023,C088,P098,R3,620.85,182.85,Keyboard,Accessories,Input Devices,Rohan,Corporate,East
O0122,2024-06-27,6,2024,C150,P005,R4,3704.27,1015.3,Monitor,Technology,Displays,Meera,Consumer,West
O0123,2023-07-30,7,2023,C036,P025,R2,3734.38,646.95,Phone,Technology,Mobiles,Aditya,Corporate,South
O0124,2024-02-13,2,2024,C170,P080,R3,3383.62,289.31,Monitor,Technology,Displays,Aarav,Corporate,East
O0125,2023-08-13,8,2023,C064,P013,R4,2647.76,775.98,Phone,Technology,Mobiles,Rohan,Consumer,West
O0126,2023-08-18,8,2023,C185,P007,R3,2892.04,229.88,Tablet,Technology,Tablets,Ananya,Consumer,East
O0127,2023-11-24,11,2023,C141,P058,R1,709.88,163.12,Tablet,Technology,Tablets,Aditya,Corporate,North
O0128,2023-06-24,6,2023,C133,P036,R3,472.83,58.29,Keyboard,Accessories,Input Devices,Ananya,Consumer,East
O0129,2024-06-03,6,2024,C077,P096,R3,4284.01,1160.05,Phone,Technology,Mobiles,Diya,Consumer,East
O0130,2023-08-04,8,2023,C013,P002,R4,2845.8,184.91,Phone,Technology,Mobiles,Aditya,Corporate,West
O0131,2023-03-04,3,2023,C095,P013,R1,577.07,39.04,Headphones,Accessories,Audio,Diya,Consumer,North
O0132,2023-11-05,11,2023,C099,P002,R4,2322.09,303.61,Headphones,Accessories,Audio,Aarav,Corporate,West
O0133,2023-01-17,1,2023,C015,P010,R4,1897.34,511.94,Monitor,Technology,Displays,Vivaan,Consumer,West
O0134,2024-05-31,5,2024,C179,P019,R3,2224.69,153.04,Headphones,Accessories,Audio,Diya,Consumer,East
O0135,2024-09-10,9,2024,C151,P082,R4,502.31,112.04,Tablet,Technology,Tablets,Ananya,Consumer,West
O0136,2023-06-28,6,2023,C028,P072,R2,3984.22,351.57,Tablet,Technology,Tablets,Ananya,Consumer,South
O0137,2024-11-13,11,2024,C133,P066,R2,731.78,143.54,Headphones,Accessories,Audio,Vivaan,Home Office,South
O0138,2024-06-21,6,2024,C071,P089,R3,2292.99,239.23,Laptop,Technology,Computers,Isha,Consumer,East
O0139,2023-01-31,1,2023,C137,P041,R2,2664.62,559.33,Phone,Technology,Mobiles,Meera,Consumer,South
O0140,2024-07-15,7,2024,C056,P018,R3,3035.32,515.92,Keyboard,Accessories,Input Devices,Meera,Corporate,East
O0141,2023-09-14,9,2023,C170,P026,R1,1015.68,83.75,Phone,Technology,Mobiles,Meera,Home Office,North
O0142,2024-03-17,3,2024,C183,P037,R1,3107.24,319.03,Laptop,Technology,Computers,Diya,Consumer,North
O0143,2024-11-14,11,2024,C080,P010,R1,1632.08,477.42,Tablet,Technology,Tablets,Aditya,Home Office,North
O0144,2024-06-30,6,2024,C186,P060,R3,3177.96,939.39,Laptop,Technology,Computers,Isha,Home Office,East
O0145,2024-02-18,2,2024,C015,P094,R3,1467.09,311.64,Monitor,Technology,Displays,Rohan,Corporate,East
O0146,2023-05-08,5,2023,C129,P098,R4,4169.49,238.75,Tablet,Technology,Tablets,Rohan,Corporate,West
O0147,2024-01-25,1,2024,C003,P088,R2,2970.28,483.24,Keyboard,Accessories,Input Devices,Isha,Consumer,South
O0148,2024-01-20,1,2024,C150,P086,R2,362.36,19.01,Headphones,Accessories,Audio,Diya,Corporate,South
O0149,2023-10-27,10,2023,C001,P020,R4,1047.34,56.69,Phone,Technology,Mobiles,Rohan,Home Office,West
O0150,2024-08-18,8,2024,C059,P077,R3,2677.57,221.07,Headphones,Accessories,Audio,Aditya,Home Office,East
O0151,2023-08-02,8,2023,C039,P012,R4,311.98,41.35,Keyboard,Accessories,Input Devices,Rohan,Consumer,West
O0152,2023-08-29,8,2023,C093,P098,R3,476.08,78.98,Keyboard,Accessories,Input Devices,Rohan,Corporate,East
O0153,2024-06-04,6,2024,C133,P052,R4,2207.06,112.92,Laptop,Technology,Computers,Rohan,Corporate,West
O0154,2024-12-06,12,2024,C131,P041,R2,4110.68,466.91,Keyboard,Accessories,Input Devices,Vivaan,Consumer,South
O0155,2024-01-27,1,2024,C056,P038,R4,279.66,60.65,Laptop,Technology,Computers,Aditya,Corporate,West
O0156,2023-01-03,1,2023,C189,P050,R3,4380.34,637.5,Phone,Technology,Mobiles,Meera,Corporate,East
O0157,2024-06-07,6,2024,C158,P083,R4,3301.4,395.2,Monitor,Technology,Displays,Diya,Corporate,West
O0158,2023-06-02,6,2023,C038,P037,R3,1059.12,165.46,Phone,Technology,Mobiles,Isha,Corporate,East
O0159,2024-04-24,4,2024,C078,P016,R3,4496.23,736.39,Tablet,Technology,Tablets,Rohan,Consumer,East
O0160,2024-05-16,5,2024,C185,P066,R2,3502.38,731.83,Tablet,Technology,Tablets,Diya,Home Office,South
O0161,2024-10-12,10,2024,C183,P097,R2,262.62,25.48,Monitor,Technology,Displays,Diya,Corporate,South
O0162,2024-01-09,1,2024,C169,P014,R1,4560.96,404.72,Phone,Technology,Mobiles,Aarav,Corporate,North
O0163,2024-11-15,11,2024,C119,P073,R4,3766.53,731.64,Keyboard,Accessories,Input Devices,Isha,Home Office,West
O0164,2023-02-27,2,2023,C040,P032,R1,2126.71,552.46,Monitor,Technology,Displays,Rohan,Home Office,North
O0165,2024-04-28,4,2024,C119,P003,R4,4563.16,660.49,Keyboard,Accessories,Input Devices,Aditya,Consumer,West
O0166,2024-09-19,9,2024,C096,P050,R2,3369.24,955.27,Tablet,Technology,Tablets,Vivaan,Corporate,South
O0167,2024-12-31,12,2024,C070,P015,R1,290.43,34.59,Headphones,Accessories,Audio,Rohan,Home Office,North
O0168,2023-03-09,3,2023,C033,P041,R2,4053.18,861.65,Laptop,Technology,Computers,Meera,Consumer,South
O0169,2024-10-23,10,2024,C092,P050,R1,2169.27,412.02,Monitor,Technology,Displays,Isha,Corporate,North
O0170,2024-05-04,5,2024,C128,P085,R4,1234.34,153.35,Phone,Technology,Mobiles,Vivaan,Corporate,West
O0171,2024-07-24,7,2024,C073,P082,R4,2182.87,184.85,Tablet,Technology,Tablets,Meera,Consumer,West
O0172,2024-01-07,1,2024,C045,P069,R3,4755.47,559.11,Monitor,Technology,Displays,Isha,Corporate,East
O0173,2024-10-05,10,2024,C110,P019,R3,1687.52,364.15,Keyboard,Accessories,Input Devices,Isha,Home Office,East
O0174,2024-11-05,11,2024,C052,P002,R2,2214.08,606.55,Monitor,Technology,Displays,Diya,Corporate,South
O0175,2023-06-04,6,2023,C036,P081,R2,4945.62,1452.25,Headphones,Accessories,Audio,Ananya,Home Office,South
O0176,2024-06-03,6,2024,C006,P010,R4,4949.28,1423.07,Laptop,Technology,Computers,Ananya,Home Office,West
O0177,2024-05-24,5,2024,C019,P066,R2,4240.98,421.19,Headphones,Accessories,Audio,Diya,Corporate,South
O0178,2024-11-07,11,2024,C134,P006,R2,290.76,20.04,Tablet,Technology,Tablets,Ananya,Corporate,South
O0179,2024-02-09,2,2024,C131,P038,R3,3356.19,703.28,Phone,Technology,Mobiles,Vivaan,Home Office,East
O0180,2023-12-20,12,2023,C119,P064,R3,4090.04,360.07,Keyboard,Accessories,Input Devices,Vivaan,Corporate,East
O0181,2023-04-14,4,2023,C074,P015,R1,1698.38,482.54,Monitor,Technology,Displays,Isha,Corporate,North
O0182,2024-05-19,5,2024,C085,P077,R3,2068.94,229.22,Tablet,Technology,Tablets,Isha,Consumer,East
O0183,2024-07-25,7,2024,C143,P062,R1,1033.91,235.78,Laptop,Technology,Computers,Vivaan,Corporate,North
O0184,2023-08-10,8,2023,C038,P085,R3,1869.95,558.06,Laptop,Technology,Computers,Diya,Corporate,East
O0185,2024-09-27,9,2024,C041,P055,R2,552.78,138.21,Tablet,Technology,Tablets,Diya,Home Office,South
O0186,2024-03-26,3,2024,C137,P003,R1,1764.49,406.56,Laptop,Technology,Computers,Isha,Consumer,North
O0187,2023-05-30,5,2023,C065,P091,R1,1693.11,366.65,Tablet,Technology,Tablets,Aditya,Corporate,North
O0188,2024-08-04,8,2024,C164,P094,R3,270.59,60.17,Monitor,Technology,Displays,Isha,Consumer,East
O0189,2023-04-19,4,2023,C145,P013,R4,294.49,65.19,Keyboard,Accessories,Input Devices,Rohan,Consumer,West
O0190,2024-08-25,8,2024,C012,P064,R2,1330.26,180.74,Tablet,Technology,Tablets,Rohan,Consumer,South
O0191,2023-12-23,12,2023,C111,P014,R1,503.91,37.03,Headphones,Accessories,Audio,Vivaan,Consumer,North
O0192,2024-04-23,4,2024,C162,P047,R2,1235.35,242.19,Laptop,Technology,Computers,Rohan,Home Office,South
O0193,2024-04-27,4,2024,C066,P069,R1,4275.13,905.37,Phone,Technology,Mobiles,Aditya,Corporate,North
O0194,2023-10-17,10,2023,C116,P089,R4,2955.54,531.78,Keyboard,Accessories,Input Devices,Meera,Consumer,West
O0195,2024-12-03,12,2024,C053,P079,R4,3351.18,882.57,Monitor,Technology,Displays,Ananya,Home Office,West
O0196,2023-07-24,7,2023,C078,P069,R3,1210.23,114.32,Tablet,Technology,Tablets,Aditya,Corporate,East
O0197,2023-07-16,7,2023,C085,P025,R3,493.21,57.79,Monitor,Technology,Displays,Isha,Home Office,East
O0198,2023-07-23,7,2023,C180,P014,R2,4008.36,882.65,Tablet,Technology,Tablets,Isha,Corporate,South
O0199,2024-05-10,5,2024,C100,P007,R2,2757.53,779.54,Laptop,Technology,Computers,Ananya,Home Office,South
O0200,2024-11-22,11,2024,C069,P043,R3,3632.33,948.51,Keyboard,Accessories,Input Devices,Aarav,Consumer,East
O0201,2023-06-15,6,2023,C129,P020,R1,1151.72,267.67,Headphones,Accessories,Audio,Aarav,Consumer,North
O0202,2024-12-09,12,2024,C097,P084,R1,2525.71,646.36,Tablet,Technology,Tablets,Meera,Corporate,North
O0203,2024-02-21,2,2024,C045,P093,R4,3563.61,259.26,Headphones,Accessories,Audio,Diya,Corporate,West
O0204,2024-05-18,5,2024,C189,P098,R4,2538.16,304.78,Headphones,Accessories,Audio,Ananya,Consumer,West
O0205,2024-05-13,5,2024,C107,P078,R4,4433.85,261.0,Laptop,Technology,Computers,Meera,Home Office,West
O0206,2024-02-12,2,2024,C134,P001,R2,1827.48,393.53,Laptop,Technology,Computers,Isha,Home Office,South
O0207,2024-11-26,11,2024,C108,P092,R1,2787.98,406.98,Keyboard,Accessories,Input Devices,Meera,Home Office,North
O0208,2023-05-16,5,2023,C104,P083,R1,4934.35,1262.46,Tablet,Technology,Tablets,Aditya,Corporate,North
O0209,2023-09-20,9,2023,C151,P017,R3,2532.77,274.8,Tablet,Technology,Tablets,Ananya,Home Office,East
O0210,2023-03-02,3,2023,C105,P068,R3,2418.77,594.38,Headphones,Accessories,Audio,Meera,Home Office,East
O0211,2023-08-21,8,2023,C050,P025,R3,3747.32,315.92,Laptop,Technology,Computers,Isha,Corporate,East
O0212,2023-01-08,1,2023,C135,P045,R2,2523.74,401.19,Phone,Technology,Mobiles,Aarav,Corporate,South
O0213,2023-02-21,2,2023,C052,P043,R4,418.83,60.6,Phone,Technology,Mobiles,Isha,Home Office,West
O0214,2023-01-02,1,2023,C075,P072,R3,2216.05,631.51,Keyboard,Accessories,Input Devices,Aarav,Consumer,East
O0215,2023-02-20,2,2023,C039,P048,R3,1399.27,226.93,Tablet,Technology,Tablets,Ananya,Home Office,East
O0216,2023-06-18,6,2023,C192,P053,R3,3571.37,616.39,Monitor,Technology,Displays,Ananya,Home Office,East
O0217,2023-08-02,8,2023,C005,P018,R1,4782.9,392.28,Laptop,Technology,Computers,Ananya,Consumer,North
O0218,2023-01-17,1,2023,C008,P009,R2,1558.1,188.9,Phone,Technology,Mobiles,Diya,Consumer,South
O0219,2024-02-28,2,2024,C188,P011,R1,1756.25,215.91,Tablet,Technology,Tablets,Diya,Corporate,North
O0220,2023-10-25,10,2023,C192,P071,R3,128.39,13.28,Tablet,Technology,Tablets,Vivaan,Corporate,East
O0221,2024-09-19,9,2024,C131,P062,R1,997.9,111.19,Tablet,Technology,Tablets,Aarav,Corporate,North
O0222,2024-12-18,12,2024,C193,P042,R2,3643.81,530.0,Phone,Technology,Mobiles,Isha,Corporate,South
O0223,2023-07-17,7,2023,C062,P002,R4,3467.86,764.8,Monitor,Technology,Displays,Ananya,Consumer,West
O0224,2023-04-29,4,2023,C134,P074,R4,4670.44,1011.95,Laptop,Technology,Computers,Meera,Corporate,West
O0225,2024-07-24,7,2024,C074,P050,R4,1987.61,188.74,Phone,Technology,Mobiles,Diya,Home Office,West
O0226,2023-12-27,12,2023,C126,P081,R2,1371.8,173.6,Phone,Technology,Mobiles,Aarav,Consumer,South
O0227,2024-03-14,3,2024,C018,P054,R1,3020.1,406.62,Monitor,Technology,Displays,Aarav,Corporate,North
O0228,2023-04-21,4,2023,C171,P024,R1,1087.59,77.45,Headphones,Accessories,Audio,Vivaan,Consumer,North
O0229,2023-09-02,9,2023,C015,P010,R3,2502.31,573.99,Phone,Technology,Mobiles,Ananya,Consumer,East
O0230,2024-06-16,6,2024,C020,P045,R4,1380.48,121.38,Phone,Technology,Mobiles,Vivaan,Home Office,West
O0231,2024-08-27,8,2024,C152,P088,R2,2164.95,277.24,Keyboard,Accessories,Input Devices,Aditya,Corporate,South
O0232,2024-10-06,10,2024,C053,P038,R1,2794.61,305.95,Laptop,Technology,Computers,Diya,Corporate,North
